Negative Tweet,Negative Score,Cluster
number killed climbed almost many earthquakes victim numbers,0.501,2
sources afghanistanâs consulate turkey said afghan citizens among killed deadly earthquake turkey monday,0.273,0
horrific scenes farright protesters gather outside hotel asylum seekers near liverpool chanting racist slurs setting police fire,0.494,2
west failed syria cameron wanted intervene miliband shamefully didnât obama lost nerve britain america countries need take syrians,0.362,2
team arrives help desperate search survivors following devastating earthquake,0.431,2
level destruction caused earthquake turkey makes look worse zone,0.493,2
president erdogan turkiyequakes biggest disaster weve experienced last century weve taken prompt action mobilised rescue units affected provinces addition nato received offers countries,0.197,0
update president erdogan said killed across turkish provinces injured death toll governmentheld areas syria climbed injured according state media,0.479,2
entire buildings collapsed turkey epicenter magnitude earthquake last hour also sent shockwaves syria lebanon iraq israel palestine cyprus donât know death toll,0.231,0
mexican searchandrescue proteo died working earthquake zone turkey rubble ðÿðÿ,0.286,0
turkeys justice minister bekir bozdag gets booed visit quakehit diyarbakir febth prosecutors quick order detention protestors charge defamation nearly confirmed death erdogan govt major concern protests,0.246,0
dogs suffer much turkey guardian angels many human tragedy turkey,0.497,2
turkey torture abuse dogs rescue victims terrible earthquake turkishearthquake,0.649,1
many dogs suffer turkey many lives saved turkeyearthquake,0.285,0
turkey earthquake tried warn deprem erdbeben earthquake turkey tã¼rkei,0.149,0
thrown rubbish horrific reality turkish street dogs turkey,0.386,2
socalled russian nationalism putins speech yesterday denies right exist entire nation must finally equated nazism everyone professes sympathizes russian nazism must bear responsibility,0.113,0
koalas could show world badly koalas live occupation russian federation whole world would occupation orphans poor pensioners disenfranchised youth interested face boring give money,0.272,0
always remember never forgive,0.377,2
honestly tired uselessly spend days nothing useful especially morale something aimlessly drown thoughts despondency even things used love bring rest,0.352,2
heartbreaking world turn blind tragedy syria people lost hundreds still trapped rubble still response rescue teams need support save lives amidst earthquakes devastation standwithsyria,0.435,2
else elon going spoilâ almost years fine right step liberating ukrainian territories occupied russians spacex makes worst decision possible russiaisaterroriststate,0.174,0
awful news turkey poor people heart hurts,0.697,1
fact entire ðÿðÿ political class agitating ðÿºðÿ refusing peace talks indicates representative democracy ðÿðÿ sham,0.262,0
tragic data extremely clear vaccines killing people ages publish medicare numbers signal crystal clear,0.327,0
âœwhat happened money years change homeless crisisâ homeless questions hundreds millions spent crisis actually worsened upon reflection based first hand experience said main goal major,0.217,0
child killed crimes father,0.6,1
yearold high school freshman takes life four classmates brutally beat school hallway posted social media,0.222,0
listening sold story podcast explains kids school system taught read wrong decades know kids grade barely read black graders read kindergarten level done,0.124,0
feeling bored power couple meerasim,0.318,0
feeling angry lift weights feeling stressed stuck problem walk make physical activity default control mind exhausting body,0.498,2
world doesnt seem significant,0.347,2
rapes week park gunpoint driver staff raped hostess colleague inside house teenager raped gunpoint front mother safe women,0.448,2
grandparents children âœevacuatedâ lydda gunpoint middle summer walked days without food water hundreds died exhaustion dehydration became known lydda death march,0.357,2
isnt airport announce departure shut hell leave,0.537,2
girl allegedly gang raped federal capitalâs park saturday details garnered police lodged case rape girl islamabadâs biggest amusement place margalla police station fpark,0.292,0
philadelphia zone graphic video shows criminal casually strolling shooting head,0.26,0
needs quiet shes saying something dont like hear,0.232,0
elder abuse take many forms including verbal physical abuse call national elder abuse phone line confidential information support elderhelp ahrc elderabuse shiftyourperspective,0.378,2
poverty porn absolutely ridiculous given current state people,0.504,2
drives work reach checkpoint drivers honk protest soldiers hurl stun grenade hits protests soldiers pepper spray pull force ground resists shoot dead,0.369,2
people black people lazy harass black hardest jobs farmer trying land,0.388,2
live abuser centered world survivor speaks trauma done focus goes abuser people narrate happened defending abuser show compassion called healing happen like cycle continues,0.352,2
hearing someone whos rapist organizes event rehabilitate thier image victims better keep mouths shut theyll labeled organize events around rapists prowar hawks white supremists hard,0.36,2
rape culture tells shame victim perpetrator rape culture wrong,0.874,1
australia women killed days interesting mainstream media failing report adequately scourge society coincides male pattern violence called âœfamily violenceâ women called menstruators uterus havers,0.344,0
society insecure pathetic acts show called mardaangi,0.565,2
woman raped largest public park middle capital city public spaces women access raped gunpoint told perpetrators warning walk sunset,0.476,2
woman lived justified terror violence rape shed locked male murderer male abuser women invasive medical procedure didnt want case made pregnant literally nothing happened,0.523,2
mothers reporting increased levels anxiety depression birth trauma ptsd know millihill bigissuenorth,0.448,2
written nothing happened isnt adequate measure whether bully intimate women private public space often nothing happen aggression enough,0.148,0
dont afraid walk away whats destroying actually handful times dont regret instant,0.226,0
spent week location tent sometimes front camera sometimes behind either utterly exhausted next hotel room bath cant blame girl youðÿ,0.122,0
rejections iâve experienced years professional personal iâve come conclusion people change mind time despite time read years youâve spent thereâs nothing,0.134,0
even realise gravity year murdering mother name honour shows menâs minds poisoned young prompting play really makes wonder future women country extremely deeply alarming,0.276,0
chill risk donât mind quiet hours,0.296,0
backstomach problems world,0.574,1
claim kill terrorists reality terrorize people videos young mothers running newborns hospitals flooded tear young brothers dragging siblings pools blood ziad victims jenin massacre,0.435,2
elderly palestinian presents yearold document proving ownership land jiresh village nablus isreli settlers tried illegal outpost today,0.184,0
aleehaâs father disclosing information parents bullies attempting bully making threats listen till understand fucked scarsdaleschool lahore,0.444,2
women karachi dealing crime sister commutes motorcycle share views interview amirotjahan,0.238,0
even wake devastating earthquake killed people turkey syria refuse lift sanctions prevent syrians receiving direct many countries remember next time lecture world human rights,0.343,0
pharmaceutical companies threaten stop production medicines citing massive increase production cost rupee devaluation dollar demand immediate increase drug prices would halt production days,0.218,0
battery bought taxila worst work months despite unprecedented increase prices,0.431,2
looming crisis healthcare lifesaving equipment supplies need prioritized,0.483,2
ihtisham iihtishamm pain words wish could translate everyone peshawarattack,0.254,0
muslims always blame everything terrorism economic crisis fatf failure debt default donât accept fact donât terrorist entity across world experts inventing jihadist proxies tech,0.524,2
treatment inhumane unfortunately afghans relegated subhuman levels country since last four decades strongly condemn gross human rights violations government sindh ashamed repeated mistreatment afghan refugees,0.409,2
university researchers isolated insulin century gave humanity single dollar grave injustice million americans ration insulin save money forced choose health rent heres congress finish fight insulinall,0.38,2
professor steve hankey professor applied economics johns hopkins university says value iranian rial almost equal north korean todays inflation rate iran higher syria iran witness economic collapse stevehanke hosseinimahshid,0.098,0
ambition beautiful poison ohhh slow poison ambitionsthought,0.47,2
athens greece greek transport minister kostas karamanlis resigns deadly train crash,0.357,2
seem dead train crash greece injured entirely unrelated news remember newly privatised rail company,0.469,2
president train drivers nothing working neither indicators light signals traffic control working drivers would signal trains would stop distance tongue hairy accident murder tempe,0.323,0
small face magnitude disaster mute face unspeakable sorrow strong face duty continue temphitragodia pyrosvestiki,0.344,0
alexandros tzabaltzis months months needed screws larissa station didnt money screws sell ââthem results private initiative,0.222,0
ððµð¼ðððñðð³ð¾ððð antireport today friday march train workers unions going hour nationwide strike tragic accident ððµð¼ðð,0.388,2
unimaginable tragedyâ greece train crash death toll likely rise,0.485,2
whose prevent tragedies cries search morgues identify loved ones îîµî¼ïîîïîî³ïîî¹î ïîµî¼ïîîµî³îºîîî¼î hellenictrain ïƒïî³îºïîïïƒîïïîµî½ïî½,0.286,0
stop telling tragies happened rail network fault standman didnt turn stupid,0.313,0
usual blame train accident took lives station master goverment faultneverthats much lives matter people powerfucking shame,0.396,2
tragedy least confirmed deaths injuries looks deadliest rail crash greece decades,0.441,2
people internet shame idiots unfortunately interact fucking bird youre truly pathetic,0.475,2
âœand patient fear allah plot harm allâ quran,0.528,2
babar azam millions diehard fans around world whose hearts beat every single shot however agenda driven mafia negligible numbers perhaps wait failures fact small number haters never affect babar azam hblpsl,0.175,0
warned screamed pushed back time many believed fall kabul taliban good news ongoing terror attack karachi entirely predictable many power still taliban friends brothers itâll much worse,0.35,2
writing insulting column bushra bibi feel ashamed woman sada tommy,0.441,2
muslim league allah belong shall return days funeral countdown started punjab nonleague,0.185,0
ishaq going resign today shabar zaidi neither denial support ishaq marys house pier øøùøùùøøùûúøù¾ù¹ùøøù maryamnsharif mishaqdar imrankhanpti,0.237,0
shaq must resign else sackedâ,0.375,2
witch strange logic thinks pakistani people stupid ðÿðÿ½ðÿðÿ½ðÿðÿ½ðÿðÿ½ðÿðÿ½ðÿðÿ½ðÿðÿ½ðÿðÿ½,0.606,1
incompetence incompetence imported government people currently suffering inflation unemployment inflation made difficult people live úˆøøøø³øªø¹ùûœùøùˆ,0.602,1
ishaq economic terrorist brought pakistans economy brink default resign úˆøøøø³øªø¹ùûœùøùˆ,0.47,2
